id,countryID,location
1,1,Melbourne
2,2,Kuala Lumpur
3,3,Sakhir
4,4,Montmeló
5,5,Istanbul
6,6,Monte-Carlo
7,7,Montreal
8,8,Magny Cours
9,9,Silverstone
10,10,Hockenheim
11,11,Budapest
12,4,Valencia
13,12,Spa
14,13,Monza
15,14,Marina Bay
16,15,Oyama
17,16,Shanghai
18,17,São Paulo
19,18,Indianapolis
20,10,Nürburg
21,13,Imola
22,15,Suzuka
23,19,Las Vegas
24,20,Abu Dhabi
25,21,Buenos Aires
26,4,Jerez de la Frontera
27,22,Estoril
28,15,Okayama
29,1,Adelaide
30,23,Midrand
31,9,Castle Donington
32,24,Mexico City
33,18,Phoenix
34,8,Le Castellet
35,25,Yeongam County
36,17,Rio de Janeiro
37,18,Detroit
38,9,Kent
39,26,Zandvoort
40,12,Heusden-Zolder
41,8,Dijon
42,18,Dallas
43,18,California
44,18,Nevada
45,4,Madrid
46,18,New York State
47,27,Anderstorp
48,7,Ontario
49,4,Barcelona
50,12,Brussels
51,8,Clermont-Ferrand
52,7,Quebec
53,8,Rouen
54,8,Le Mans
55,8,Reims
56,23,Eastern Cape Province
57,28,Styria
58,9,Liverpool
59,22,Oporto
60,10,Berlin
61,22,Lisbon
62,18,Florida
63,29,Casablanca
64,13,Pescara
65,30,Bern
66,31,Uttar Pradesh
67,18,Austin
68,28,Spielberg
69,32,Sochi
70,33,Baku
71,22,Portimão
72,13,Mugello
73,34,Jeddah
74,35,Al Daayen
75,18,Miami
