ID,teamID,driverID,firstYear, lastYear
1,1,60,2017,2024
2,1,71,2023,2024
3,2,62,2022,2024
4,2,72,2023,2024
5,3,58, 2019,2024
6,3,47, 2021,2024
7,4,45,2016,2024
8,4,30,2021,2024
9,5,37,2022,2023
10,5,69,2022,2023
11,6,3,2023,2024
12,6,55,2021,2024
13,7,1,2013,2024
14,7,61,2022,2024
15,8,40,2017,2020
16,8,23,2023,2024
17,9,66,2021,2023
18,9,32,2023,2023
19,10,22,2023,2024
20,10,54,2021,2024
21,8,40,2022,2024
22,11,39,2024,2024
23,11,37,2024,2024
24,12,23,2024,2024
25,12,66,2024,2024
26,4,32,2014,2018
